Date,State,Sector,Mode,Installed Capacity
08-01-2022,Andaman & Nicobar Islands,STATE SECTOR,Thermal,40.048
08-01-2022,Andaman & Nicobar Islands,STATE SECTOR,Nuclear,0
08-01-2022,Andaman & Nicobar Islands,STATE SECTOR,Hydro,0
08-01-2022,Andaman & Nicobar Islands,STATE SECTOR,RES,5.25
08-01-2022,Andaman & Nicobar Islands,PVT SECTOR,Thermal,0
08-01-2022,Andaman & Nicobar Islands,PVT SECTOR,Nuclear,0
08-01-2022,Andaman & Nicobar Islands,PVT SECTOR,Hydro,0
08-01-2022,Andaman & Nicobar Islands,PVT SECTOR,RES,24.39
08-01-2022,Andaman & Nicobar Islands,CENTRAL SECTOR,Thermal,0
08-01-2022,Andaman & Nicobar Islands,CENTRAL SECTOR,Nuclear,0
08-01-2022,Andaman & Nicobar Islands,CENTRAL SECTOR,Hydro,0
08-01-2022,Andaman & Nicobar Islands,CENTRAL SECTOR,RES,5.1
08-01-2022,Andhra Pradesh,STATE SECTOR,Thermal,5245.4
08-01-2022,Andhra Pradesh,STATE SECTOR,Nuclear,0
08-01-2022,Andhra Pradesh,STATE SECTOR,Hydro,1610
08-01-2022,Andhra Pradesh,STATE SECTOR,RES,56.176
08-01-2022,Andhra Pradesh,PVT SECTOR,Thermal,9279.944
08-01-2022,Andhra Pradesh,PVT SECTOR,Nuclear,0
08-01-2022,Andhra Pradesh,PVT SECTOR,Hydro,0
08-01-2022,Andhra Pradesh,PVT SECTOR,RES,8884.334
08-01-2022,Andhra Pradesh,CENTRAL SECTOR,Thermal,2000
08-01-2022,Andhra Pradesh,CENTRAL SECTOR,Nuclear,0
08-01-2022,Andhra Pradesh,CENTRAL SECTOR,Hydro,0
08-01-2022,Andhra Pradesh,CENTRAL SECTOR,RES,250
08-01-2022,Arunachal Pradesh,STATE SECTOR,Thermal,0
08-01-2022,Arunachal Pradesh,STATE SECTOR,Nuclear,0
08-01-2022,Arunachal Pradesh,STATE SECTOR,Hydro,0
08-01-2022,Arunachal Pradesh,STATE SECTOR,RES,107.1051
08-01-2022,Arunachal Pradesh,PVT SECTOR,Thermal,0
08-01-2022,Arunachal Pradesh,PVT SECTOR,Nuclear,0
08-01-2022,Arunachal Pradesh,PVT SECTOR,Hydro,0
08-01-2022,Arunachal Pradesh,PVT SECTOR,RES,35.23
08-01-2022,Arunachal Pradesh,CENTRAL SECTOR,Thermal,0
08-01-2022,Arunachal Pradesh,CENTRAL SECTOR,Nuclear,0
08-01-2022,Arunachal Pradesh,CENTRAL SECTOR,Hydro,1115
08-01-2022,Arunachal Pradesh,CENTRAL SECTOR,RES,0
08-01-2022,Assam,STATE SECTOR,Thermal,329.355
08-01-2022,Assam,STATE SECTOR,Nuclear,0
08-01-2022,Assam,STATE SECTOR,Hydro,100
08-01-2022,Assam,STATE SECTOR,RES,5.01
08-01-2022,Assam,PVT SECTOR,Thermal,0
08-01-2022,Assam,PVT SECTOR,Nuclear,0
08-01-2022,Assam,PVT SECTOR,Hydro,0
08-01-2022,Assam,PVT SECTOR,RES,74.67
08-01-2022,Assam,CENTRAL SECTOR,Thermal,1041
08-01-2022,Assam,CENTRAL SECTOR,Nuclear,0
08-01-2022,Assam,CENTRAL SECTOR,Hydro,250
08-01-2022,Assam,CENTRAL SECTOR,RES,25
08-01-2022,Bihar,STATE SECTOR,Thermal,0
08-01-2022,Bihar,STATE SECTOR,Nuclear,0
08-01-2022,Bihar,STATE SECTOR,Hydro,0
08-01-2022,Bihar,STATE SECTOR,RES,70.7
08-01-2022,Bihar,PVT SECTOR,Thermal,0
08-01-2022,Bihar,PVT SECTOR,Nuclear,0
08-01-2022,Bihar,PVT SECTOR,Hydro,0
08-01-2022,Bihar,PVT SECTOR,RES,316.25
08-01-2022,Bihar,CENTRAL SECTOR,Thermal,7960
08-01-2022,Bihar,CENTRAL SECTOR,Nuclear,0
08-01-2022,Bihar,CENTRAL SECTOR,Hydro,0
08-01-2022,Bihar,CENTRAL SECTOR,RES,0
08-01-2022,Chandigarh,STATE SECTOR,Thermal,0
08-01-2022,Chandigarh,STATE SECTOR,Nuclear,0
08-01-2022,Chandigarh,STATE SECTOR,Hydro,0
08-01-2022,Chandigarh,STATE SECTOR,RES,0
08-01-2022,Chandigarh,PVT SECTOR,Thermal,0
08-01-2022,Chandigarh,PVT SECTOR,Nuclear,0
08-01-2022,Chandigarh,PVT SECTOR,Hydro,0
08-01-2022,Chandigarh,PVT SECTOR,RES,53.45
08-01-2022,Chandigarh,CENTRAL SECTOR,Thermal,0
08-01-2022,Chandigarh,CENTRAL SECTOR,Nuclear,0
08-01-2022,Chandigarh,CENTRAL SECTOR,Hydro,0
08-01-2022,Chandigarh,CENTRAL SECTOR,RES,0
08-01-2022,Chhatisgarh,STATE SECTOR,Thermal,2840
08-01-2022,Chhatisgarh,STATE SECTOR,Nuclear,0
08-01-2022,Chhatisgarh,STATE SECTOR,Hydro,120
08-01-2022,Chhatisgarh,STATE SECTOR,RES,11.05
08-01-2022,Chhatisgarh,PVT SECTOR,Thermal,13168
08-01-2022,Chhatisgarh,PVT SECTOR,Nuclear,0
08-01-2022,Chhatisgarh,PVT SECTOR,Hydro,0
08-01-2022,Chhatisgarh,PVT SECTOR,RES,841.53
08-01-2022,Chhatisgarh,CENTRAL SECTOR,Thermal,7680
08-01-2022,Chhatisgarh,CENTRAL SECTOR,Nuclear,0
08-01-2022,Chhatisgarh,CENTRAL SECTOR,Hydro,0
