"cityName","wellnessCentreName","card_type","count"
"AGARTALA","AGARTALA","Pensioner","462"
"AGARTALA","AGARTALA","Serving","12705"
"AGARTALA","AGARTALA","Freedom Fighter","4"
"AGRA","AGRA","Pensioner","860"
"AGRA","AGRA","Serving","4380"
"AHMEDABAD","LALDARWAJA","Pensioner","1320"
"AHMEDABAD","PRAGATINAGAR, NARANPURA","Pensioner","4275"
"AHMEDABAD","PRAGATINAGAR, NARANPURA","Serving","6311"
"AHMEDABAD","PRAGATINAGAR, NARANPURA","Ex MP","3"
"AHMEDABAD","NARODA","Freedom Fighter","3"
"AHMEDABAD","NARODA","Pensioner","2965"
"AHMEDABAD","NARODA","Serving","5795"
"AHMEDABAD","NARODA","Ex MP","9"
"AHMEDABAD","GANDHI NAGAR","Pensioner","1724"
"AHMEDABAD","GANDHI NAGAR","Serving","15658"
"AHMEDABAD","GANDHI NAGAR","Ex MP","19"
"AHMEDABAD","LALDARWAJA","Serving","1348"
"AHMEDABAD","RAMBAUG,MANINGAR","Pensioner","2574"
"AHMEDABAD","RAMBAUG,MANINGAR","Serving","2886"
"AHMEDABAD","BOPAL","Pensioner","1284"
"AHMEDABAD","BOPAL","Serving","1201"
"AHMEDABAD","ASHRAM ROAD","Freedom Fighter","17"
"AHMEDABAD","ASHRAM ROAD","Pensioner","5825"
"AHMEDABAD","ASHRAM ROAD","Serving","8423"
"AHMEDABAD","ASHRAM ROAD","Ex MP","58"
"AHMEDABAD","VEJALPUR","Freedom Fighter","1"
"AHMEDABAD","VEJALPUR","Pensioner","1454"
"AHMEDABAD","VEJALPUR","Serving","1957"
"AHMEDABAD","NAVRANGPURA","Freedom Fighter","11"
"AHMEDABAD","NAVRANGPURA","Lok Sabha MP","2"
"AHMEDABAD","NAVRANGPURA","Pensioner","3364"
"AHMEDABAD","NAVRANGPURA","Serving","6276"
"AHMEDABAD","NAVRANGPURA","Ex MP","20"
"AHMEDABAD","PRAGATINAGAR, NARANPURA","Freedom Fighter","5"
"AIZAWAL","AiZwal","Serving","4548"
"AIZAWAL","AiZwal","Pensioner","100"
"AIZAWAL","AiZwal","Ex MP","5"
"AJMER","AJMER","Serving","2896"
"AJMER","AJMER","Pensioner","2014"
"ALIGARH"," CGHS WC ALIGARH","Pensioner","435"
"ALIGARH"," CGHS WC ALIGARH","Serving","1302"
"AMBALA","AMBALA","Serving","4100"
"AMBALA","AMBALA","Pensioner","3757"
"AMRITSAR","AMRITSAR","Serving","4163"
"AMRITSAR","AMRITSAR","Pensioner","3560"
"BAGHPAT"," CGHS WC BAGHPAT","Pensioner","272"
"BAGHPAT"," CGHS WC BAGHPAT","Serving","206"
"BAREILLY","BAREILLY","Serving","4851"
"BAREILLY","BAREILLY","Pensioner","676"
